permalink,meal_type,cuisines,content_type,is_unclear
https://www.instagram.com/p/C0WebTYurhy/,drinks,,mixed,	
https://www.instagram.com/p/CzlrOVJgJ1a/,drinks,,mixed,	
https://www.instagram.com/p/Cy3NR-ROYDH/,all_day,italian,food_spot,	
https://www.instagram.com/p/DDIg7M0PqXA/,dinner,american,food_spot,TRUE
https://www.instagram.com/p/CyGijc7OUMz/,drinks,,event,	
https://www.instagram.com/p/C4nlWncLXhj/,unknown,,event,	
https://www.instagram.com/p/C3c6mT-MFxx/,unknown,,event,	
https://www.instagram.com/p/C4IiFHNLMQY/,all_day,indian,food_spot,	
https://www.instagram.com/p/CwAPfWUsNs9/,dinner,japanese,food_spot,	
https://www.instagram.com/p/C_qKXF1xsZ1/,drinks,,event,	
https://www.instagram.com/p/C1o5JvcOAZ6/,drinks,,mixed,	
https://www.instagram.com/p/C76eeRfRwLW/,dinner,korea,food_spot,	
https://www.instagram.com/p/CwC29j6tCwe/,drinks,,event,	
https://www.instagram.com/p/C2muvFfuQLM/,drinks,,mixed,	
https://www.instagram.com/p/DDSPHDzPO10/,all_day,american,food_spot,	
https://www.instagram.com/p/C1MyCr_OCBD/,dinner,american,food_spot,	
https://www.instagram.com/p/DOvjN3ZEQ-R/,drinks,,event,	
https://www.instagram.com/p/CvrhyYPpqcv/,dinner(thai),food_spot,	
https://www.instagram.com/p/CwU2pI_xPlb/,dessert,,food_spot,	
https://www.instagram.com/p/Cz8zVwhujQ1/,drinks,,event,	
https://www.instagram.com/p/C1W4iWsuBsM/,unknown,,mixed,	
https://www.instagram.com/p/C-uwPfpxuS4/,dinner,american,food_spot,	
https://www.instagram.com/p/C5MlmB8v-W6/,dinner,mexican,food_spot,	
https://www.instagram.com/p/C1mZJFMunVH/,drinks,coffee_cafe,food_spot,	
https://www.instagram.com/p/CzYz1JJOFjU/,all_day,american,food_spot,	
https://www.instagram.com/p/C37o8KlrFPw/,dinner,french,food_spot,	
https://www.instagram.com/p/C3xdCqHrjTp/,drinks,,event,	
https://www.instagram.com/p/C__kCbTPumk/,unknown,,event,	
https://www.instagram.com/p/DNyqURVYgkw/,unknown,,event,	
https://www.instagram.com/p/DBgcnvTxRu2/,dessert,,food_spot,	
https://www.instagram.com/p/C8MktXSx3yC/,unknown,,event,	
https://www.instagram.com/p/C53LWAULKcU/,drinks,,event,	
https://www.instagram.com/p/CvcPgPXu6Xz/,unknown,,event,	
https://www.instagram.com/p/Ct9FnBBRYv5/,drinks,,event,	
https://www.instagram.com/p/DAnzyBMP8bn/,drinks,,food_spot,	
https://www.instagram.com/p/C1hTjv8u0Us/,dinner,american|mexican|persian,food_spot,	
https://www.instagram.com/p/C5a9YMFrHYz/,dinner,mexican,food_spot,	
https://www.instagram.com/p/DFG77YNv4c-/,unknown,,event	
https://www.instagram.com/p/C0ZFrxxOZ35/,drinks,,event	
https://www.instagram.com/p/Ct4FBUVOZXZ/,unknown,,event	
https://www.instagram.com/p/DPq7ZDzkdcL/,unknown,,event	
https://www.instagram.com/p/CuJxvA4tR2A/,unknown,,event	
https://www.instagram.com/p/DHgdHCrxA_u/,drinks,,event	
https://www.instagram.com/p/Cuhzl_-LIUA/,drinks,,event	
https://www.instagram.com/p/C3QD7fnsZa4/,drinks,,food_spot	
https://www.instagram.com/p/Cx9FPzDP5K_,/all_day,american,food_spot	
https://www.instagram.com/p/C1ZZw-bO4wP/,dinner,american|seafood,food_spot	
https://www.instagram.com/p/C32gYPeL0Ja/,unknown,,event	
https://www.instagram.com/p/C1HcGAVOiMY/,dinner,indian,food_spot	
