human_permalink,human_cuisine,human_meal_type,human_content_type,is_hand_labeled,join_status
https://www.instagram.com/p/C0WebTYurhy/,,drinks,mixed,TRUE,unmatched
https://www.instagram.com/p/CzlrOVJgJ1a/,,drinks,mixed,TRUE,unmatched
https://www.instagram.com/p/Cy3NR-ROYDH/,italian,all_day,food_spot,TRUE,unmatched
https://www.instagram.com/p/DDIg7M0PqXA/,american,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/CyGijc7OUMz/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/C4nlWncLXhj/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/C3c6mT-MFxx/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/C4IiFHNLMQY/,indian,all_day,food_spot,TRUE,unmatched
https://www.instagram.com/p/CwAPfWUsNs9/,japanese,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/C_qKXF1xsZ1/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/C1o5JvcOAZ6/,,drinks,mixed,TRUE,unmatched
https://www.instagram.com/p/C76eeRfRwLW/,korea,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/CwC29j6tCwe/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/C2muvFfuQLM/,,drinks,mixed,TRUE,unmatched
https://www.instagram.com/p/DDSPHDzPO10/,american,all_day,food_spot,TRUE,unmatched
https://www.instagram.com/p/C1MyCr_OCBD/,american,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/DOvjN3ZEQ-R/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/CvrhyYPpqcv/,food_spot,dinner(thai),	,TRUE,unmatched
https://www.instagram.com/p/CwU2pI_xPlb/,,dessert,food_spot,TRUE,unmatched
https://www.instagram.com/p/Cz8zVwhujQ1/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/C1W4iWsuBsM/,,unknown,mixed,TRUE,unmatched
https://www.instagram.com/p/C-uwPfpxuS4/,american,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/C5MlmB8v-W6/,mexican,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/C1mZJFMunVH/,coffee_cafe,drinks,food_spot,TRUE,unmatched
https://www.instagram.com/p/CzYz1JJOFjU/,american,all_day,food_spot,TRUE,unmatched
https://www.instagram.com/p/C37o8KlrFPw/,french,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/C3xdCqHrjTp/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/C__kCbTPumk/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/DNyqURVYgkw/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/DBgcnvTxRu2/,,dessert,food_spot,TRUE,unmatched
https://www.instagram.com/p/C8MktXSx3yC/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/C53LWAULKcU/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/CvcPgPXu6Xz/,,unknown,event,TRUE,unmatched
https://www.instagram.com/p/Ct9FnBBRYv5/,,drinks,event,TRUE,unmatched
https://www.instagram.com/p/DAnzyBMP8bn/,,drinks,food_spot,TRUE,unmatched
https://www.instagram.com/p/C1hTjv8u0Us/,american|mexican|persian,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/C5a9YMFrHYz/,mexican,dinner,food_spot,TRUE,unmatched
https://www.instagram.com/p/DFG77YNv4c-/,,unknown,event	,TRUE,unmatched
https://www.instagram.com/p/C0ZFrxxOZ35/,,drinks,event	,TRUE,unmatched
https://www.instagram.com/p/Ct4FBUVOZXZ/,,unknown,event	,TRUE,unmatched
https://www.instagram.com/p/DPq7ZDzkdcL/,,unknown,event	,TRUE,unmatched
https://www.instagram.com/p/CuJxvA4tR2A/,,unknown,event	,TRUE,unmatched
https://www.instagram.com/p/DHgdHCrxA_u/,,drinks,event	,TRUE,unmatched
https://www.instagram.com/p/Cuhzl_-LIUA/,,drinks,event	,TRUE,unmatched
https://www.instagram.com/p/C3QD7fnsZa4/,,drinks,food_spot	,TRUE,unmatched
https://www.instagram.com/p/Cx9FPzDP5K_,american,/all_day,food_spot	,TRUE,unmatched
https://www.instagram.com/p/C1ZZw-bO4wP/,american|seafood,dinner,food_spot	,TRUE,unmatched
https://www.instagram.com/p/C32gYPeL0Ja/,,unknown,event	,TRUE,unmatched
https://www.instagram.com/p/C1HcGAVOiMY/,indian,dinner,food_spot	,TRUE,unmatched
